Case Study,Organisation,URL,Category,Country,Date,Tags,Alternative URL
"Meet NAT, the AI-generated presenter offering soft news to Mexican audiences",Grupo Fórmula,https://reutersinstitute.politics.ox.ac.uk/news/meet-nat-ai-generated-presenter-offering-soft-news-mexican-audiences,News distribution,Mexico,"August 9, 2024","News distribution,News Anchors,AI Generated",
How the Jersey Bee uses AI and automation to produce curated local newsletters,Jersey Bee,https://www.youtube.com/watch?v=b6xZiMTphD0,News distribution,United States,"July 30, 2024","Newsletters,Curated content,Automation",
Aftonbladet shares 3 lessons learned from its new AI hub,Aftonbladet - Schibsted,https://www.inma.org/blogs/ideas/post.cfm/aftonbladet-shares-3-lessons-learned-from-its-new-ai-hub,AI Strategy ,Sweden,"June 30, 2024","AI Hubs,Automation,Smart assistant,Content strategy,Newsroom organization,Optimisation",
"Two months in, what has the FT learned about launching its own generative AI tool, AskFT",Financial Times,https://www.ftstrategies.com/en-gb/insights/what-has-the-ft-learned-about-launching-its-own-generative-ai-tool,Generative AI,UK,"June 11, 2024","Content strategy,GenAI,Chatbots,Smart assistant,Archives",
Spain’s Relevo boosts homepage engagement by a third with AI-driven coding,Relevo,https://wan-ifra.org/2024/06/spains-relevo-boosts-homepage-engagement-by-a-third-with-ai-driven-coding/,"Analytics,Audience Engagement",Spain,"June 5, 2024","Algorithms,SEO,Metrics,Optimisation",
How Norway’s public broadcaster uses AI-generated summaries to reach younger audiences,Norwegian Broadcasting Corporation (NRK) ,https://reutersinstitute.politics.ox.ac.uk/news/how-norways-public-broadcaster-uses-ai-generated-summaries-reach-younger-audiences,Audience Engagement,Norway,"June 4, 2024","Summary,News consumption,Audiences",
"Why does ChatGPT 3.5 misidentify President Erdogan's birthplace, and how can we overcome such errors?",Teyit,https://en.teyit.org/teyitpedia/why-does-chatgpt-35-misidentify-president-erdogans-birthplace-and-how-can-we-overcome-such-errors,"Generative AI,Evaluation",Turkiye,"May 24, 2024","ChatGPT,Optimisation",
AI is boosting Forbes’ publishing capabilities,Forbes,https://newsinitiative.withgoogle.com/es-mx/resources/stories/ai-is-boosting-forbes-publishing-capabilities,"News production ,News distribution",Czech Republic,"May 7, 2024","Recommender Systems,Assisted journalism,Google Tools,Tensorflow",
Rede Gazeta experiments with GenAI to create its own news assistant,Rede Gazeta,https://www.inma.org/blogs/Generative-AI-Initiative/post.cfm/rede-gazeta-experiments-with-genai-to-create-its-own-news-assistant,Generative AI,Brazil,"April 22, 2024",Smart assistant,
I trained an AI model with my own scripts and created a chatbot to help journalists make viral vertical videos,Sophia Smith Galer,https://reutersinstitute.politics.ox.ac.uk/news/i-trained-ai-model-my-own-scripts-and-created-chatbot-help-journalists-make-viral-vertical,"Audience Engagement,Generative AI",UK,"April 16, 2024","Videos,Smart assistant,Content strategy,Chatbots,GenAI",
How a Spanish media group created an AI tool to detect audio deepfakes to help journalists in a big election year,PRISA,https://reutersinstitute.politics.ox.ac.uk/news/how-spanish-media-group-created-ai-tool-detect-audio-deepfakes-help-journalists-big-election,"Fact-checking,Research & Innovation ",Spain,"April 8, 2024","Fact checking,Deep fakes",
AI in local journalism: How two Brazilian media outlets are using generative AI to provide services to their audiences,Agência Tatu / Farolete,https://latamjournalismreview.org/articles/ai-in-local-journalism-how-two-brazilian-media-outlets-are-using-generative-ai-to-provide-services-to-their-audiences/,Generative AI,Brazil,"April 3, 2024","News distribution,Content production,GenAI",
Cuestión Pública of Colombia creates AI tool to improve daily coverage with investigative journalism,Cuestión Pública,https://latamjournalismreview.org/articles/cuestion-publica-of-colombia-creates-ai-tool-to-improve-daily-coverage-with-investigative-journalism/,"Investigations,News production ",Colombia,"April 2, 2024","Investigations,Breaking News,Data journalism",
"Hearst Newspapers leverages AI to build local content, reader loyalty",Hearst Newspapers,https://www.inma.org/blogs/Generative-AI-Initiative/post.cfm/hearst-newspapers-leverages-ai-to-build-local-content-reader-loyalty,"News production ,News distribution",United States,"March 24, 2024","Local news,Localisation,Assisted journalism,AI Hubs",
Expanding hyperlocal coverage: Growing a local newsletter portfolio with automation,Tamedia,https://www.innovate-local.org/tamedia,News distribution,Switzerland,"March 20, 2024","Automation,Newsletters",
How Amedia Got Half Its Journalists Using AI By Keeping It Simple,Amedia,https://www.innovate-local.org/amedia,"Generative AI,AI Strategy ",Norway,"March 6, 2024","Newsroom organization,AI Literacy",https://www.inma.org/best-practice/Best-Use-of-AI-for-Internal-Productivity/2025-8/How-Amedia-Got-Half-Its-Journalists-Using-AI-By-Keeping-It-Simple
We Asked an AI to Map Our Stories Across NYC,The City NYC,https://www.thecity.nyc/2024/02/29/chatgpt-map-stories-nyc/,Evaluation,USA,"February 29, 2024","News coverage,Analytics,Optimisation,Metrics",
Reach using AI to speed up ‘ripping’ and use same article on multiple sites,Reach,https://pressgazette.co.uk/publishers/nationals/reach-ai-guten/,News production ,USA ,"February 22, 2024",News coverage,
Semafor executive editor Gina Chua explains its Microsoft-sponsored ‘Signals’ format,Semafor ,https://pressgazette.co.uk/publishers/digital-journalism/semafor-microsoft-signals-ai/,"AI Strategy ,News production ,Audience Engagement",United States ,"February 9, 2024","News coverage,Automation",
Teaching a Custom GPT to Read Audit Reports and Support Watchdog Journalism,Generative AI Newsroom,https://generative-ai-newsroom.com/teaching-a-custom-gpt-to-read-audit-reports-and-support-watchdog-journalism-1e124196ca15,Newsgathering,Philippines,"January 30, 2024","Investigations,GenAI,ChatGPT",
This Brazilian fact-checking org uses a ChatGPT-esque bot to answer reader questions,Aos Fatos,https://www.niemanlab.org/2024/01/this-brazilian-fact-checking-org-uses-a-chatgpt-esque-bot-to-answer-reader-questions/,"Responsible AI,Fact-checking",Brazil ,"January 9, 2024",Fact checking,
Reaching young readers: How Stavanger Aftenblad covers junior football like it’s the Champions League,Stavanger Aftenblad,https://www.innovate-local.org/stavanger-aftenblad,News production ,Norway,"January 7, 2024","Formatting,Audiences,Natural Language Generation",
How one of the world’s oldest newspapers is using AI to reinvent journalism,Berrow’s Worcester Journal,https://www.theguardian.com/technology/2023/dec/28/how-one-of-the-worlds-oldest-newspapers-is-using-ai-to-reinvent-journalism,"News production ,Responsible AI",UK,"December 28, 2023",,
Quispe Chequea: an artificial intelligence verification platform in indigenous languages,Ojo Público,https://ojo-publico.com/4879/quispe-chequea-inteligencia-artificial-contra-la-desinformacion,News distribution,Peru,"December 22, 2023","Fact checking,GenAI,Diversity",
A Times Investigation Tracked Israel’s Use of One of Its Most Destructive Bombs in South Gaza,New York Times,https://www.nytimes.com/2023/12/21/world/middleeast/israel-gaza-bomb-investigation.html,"Investigations,Newsgathering",USA,"December 21, 2023","Satellite images,Machine Learning",
Argentina’s Clarín introduces AI assistant UalterAI to help boost engagement,Clarin,https://wan-ifra.org/2024/01/clarin-introduces-ai-assistant-ualterai-to-increase-engagement-on-its-news-site/,Audience Engagement,Argentina,"December 16, 2023","Automation,Content strategy,Quote extractions",
How Newsquest and its seven AI-assisted reporters are using ChatGPT,Newsquest,https://pressgazette.co.uk/publishers/regional-newspapers/newsquest-ai-assisted-reporters/,"Newsgathering,News production ,Generative AI",USA,"December 15, 2023",Smart assistant,
Agência Pública launches reports read by Artificial Intelligence (deprecated),Agência Publica,https://apublica.org/2023/10/agencia-publica-lanca-leitura-de-reportagens-por-inteligencia-artificial/,News distribution,Brazil,"October 26, 2023","Formatting,Content strategy,News consumption",
Automated writing of public safety incidents into the content management system ,Brainerd Dispatch (Minessota),https://www.ap.org/assets/files/ap-local-ai-brainerd-dispatch-oct-2023.pdf,"Newsgathering,News production ",USA,"October 10, 2023","Automation,Bot service,Local news",
Publication of Spanish-language news alerts using National Weather Service data in English,El Vocero de Puerto Rico,https://www.ap.org/assets/files/ap-local-ai-el-vocero-oct-2023.pdf,News production ,USA,"October 10, 2023","Automation,Content production,News coverage",
Automated transcription of recorded videos and summarization of the transcripts to create an article’s initial framework,KSAT-TV,https://www.ap.org/assets/files/ap-local-ai-ksat-oct-2023.pdf,News production ,USA,"October 10, 2023","Automation,Content production,Videos,Transcripts",
"Expanding the Minutes application, which creates transcripts of city council meetings, to include keyword identification and reporter alerts",Michigan Radio,https://www.ap.org/assets/files/ap-local-ai-michigan-radio-oct-2023.pdf,Newsgathering,USA,"October 10, 2023","Automation,Transcripts,Fast Alert",
How genAI summaries are boosting Daily Maverick’s readership,Daily Maverick,https://wan-ifra.org/2023/09/ai-use-cases-how-genai-summaries-are-boosting-daily-mavericks-readership/,Audience Engagement,South Africa ,"September 29, 2023",Audiences,
AI tools for combating deepfakes,IJnet,https://ijnet.org/en/story/ai-tools-combating-deepfakes,Fact-checking,Global,"September 12, 2023","Images,Photos,Deep fakes,Fact checking",
Tracking disinformation? These AI tools can help.,IJnet,https://ijnet.org/en/story/tracking-disinformation-these-ai-tools-can-help,Fact-checking,Global,"July 26, 2023","Fact checking,Fake news",
"Reuters launches AI-powered discoverability features for video library on Reuters Connect, accelerating discovery, editing and publishing",Reuters,https://www.reutersagency.com/en/media-center/reuters-launches-ai-powered-discoverability-features-for-video-library-on-reuters-connect-accelerating-discovery-editing-and-publishing/,News production ,Global,"July 10, 2023","Machine Learning,Automation,Archives,Personalised content,Content strategy,News coverage",
How the Journal Investigated Hidden Lead Cables Circling the U.S.,The Wall Street Journal,https://www.wsj.com/articles/lead-cables-investigation-att-methodology-1703dbb0,Investigations,USA,"July 9, 2023","Images,Image recognition,Machine Learning,Investigations",
"Decoding Bureaucracy
",The Marshall Project,https://generative-ai-newsroom.com/decoding-bureaucracy-5b0c1411171,Generative AI,USA,"July 6, 2023","GenAI,ChatGPT",
"Journalists from Argentina, Paraguay and the Philippines develop image recognition model to make artificial intelligence more inclusive","Grupo Octubre, El Surti, GMA Network",https://latamjournalismreview.org/articles/journalists-from-argentina-paraguay-and-the-philippines-develop-image-recognition-model-to-make-artificial-intelligence-more-inclusive/,Research & Innovation ,"Argentina, Paraguay and Philippines","January 23, 2023","Image recognition,Machine Learning,Facial recognition",
World Cup predictions: How many games did our AI get right?,Al Jazeera,https://www.aljazeera.com/news/2022/12/19/world-cup-predictions-did-our-ai,"Research & Innovation ,Audience Engagement",Global,"December 19, 2022","Analytics,Data science,Statistics",
What types of local news stories should be automated? The Toronto Star is figuring it out,The Toronto Star,https://www.niemanlab.org/2022/11/what-types-of-local-news-stories-should-be-automated-the-toronto-star-is-figuring-it-out/,News production ,Canada,"November 3, 2022","Automation,Local news",
Amazon Mining Watch,Pulitzer Center´s Rainforest Investigations Network and Earthrise Media,https://amazonminingwatch.org/,Investigations,Brazil,"April 12, 2022","Machine Learning,Investigations,Investigative reporting,Satellite images",
La minería ilegal montó sus bases aéreas en la selva,ArmandoInfo,https://armando.info/la-mineria-ilegal-monto-sus-bases-aereas-en-la-selva/,Investigations,Venezuela,"January 30, 2022","Satellite images,Investigations",
Computer vision to monitor Elections transparency,La Nación,https://blogs.lanacion.com.ar/projects/data/elections-data/computer-vision-to-monitor-elections-transparency/,Investigations,Argentina,"January 13, 2022","Investigations,Fact checking,Data journalism",
"Yeah, neighborhood, drugs and luxury. This is how trap music sounds on playlists and what centennials talk about",La Nación,https://blogs.lanacion.com.ar/projects/data/yeah-neighborhood-drugs-and-luxury-this-is-how-trap-music-sounds-on-playlists-and-what-centennials-talk-about/,News production ,Argentina,"December 26, 2021","Data journalism,Content curation,Topic Model,Topic Detection",
"Oriel, Making it easier for journalists to find the best images for stories",BBC,https://bbcnewslabs.co.uk/projects/oriel/,News production ,UK,"November 30, 2021","Images,Automation",
Talking sense: using machine learning to understand quotes,The Guardian,https://www.theguardian.com/info/2021/nov/25/talking-sense-using-machine-learning-to-understand-quotes,News production ,UK,"November 25, 2021","Quote extractions,Automation,Modular Journalism,Machine Learning",
How AI is Helping Out in the Newsroom,Singapore Press Holdings ,https://business-of-data.com/articles/how-ai-is-helping-out-in-the-newsroom-ashish-verma/,Research & Innovation ,Singapore,"November 22, 2021","Automation,Digitisation,Analytics",
A Framework for Conversational Apps,ABC ,https://developers.digital.abc.net.au/2021/11/03/a-framework-for-conversational-apps/,Audience Engagement,Australia,"November 3, 2021","Smart assistant,Interactive journalism,Fast Alert",
Hyperdraft: The natural language generation tool powering the ABC Emergency voice app,ABC,https://developers.digital.abc.net.au/2021/06/10/hyperdraft-the-natural-language-generation-tool-powering-the-abc-emergency-voice-app/,Synthetic Media,Australia,"June 10, 2021","Summary,Audiences,Smart assistant,Fast Alert",
"For a local newsroom, automation is necessary",Bärgslagsbladet (Bonnier News Local),https://www.unitedrobots.ai/for-newsrooms/cases/for-a-local-newsroom-automation-is-necessary,News production ,Sweden,"May 25, 2021","Local news,Automation",
I am a local journalist: what can AI do for me?,Bergens Tidende,https://www.journalism.co.uk/news/i-am-a-local-journalist-what-can-ai-do-for-me-/s2/a814870/,News production ,Norway,"April 19, 2021","Local news,Automation",
Aggregating Emergency Alerts,ABC,https://developers.digital.abc.net.au/2021/04/09/aggregating-emergency-alerts/,Synthetic Media,Australia,"April 9, 2021","News coverage,Automation,Smart assistant,Fast Alert",
How we calculated the size of the Southwest’s abandoned oil well problem,Grist and The Texas Observer,https://grist.org/energy/scale-of-texas-new-mexico-abandoned-oil-wells,Investigations,USA,"April 5, 2021","Machine Learning,Statistics,Investigations",
Automated real estate texts drive subscription sales in Norway,Bergens Tidende (Schibsted),https://www.unitedrobots.ai/for-newsrooms/cases/automated-home-sales-texts-drive-subscription-sales,News production ,Norway,"April 1, 2021","News coverage,Automation",
Predicting FT Trending Topics,Financial Times,https://medium.com/ft-product-technology/predicting-ft-trending-topics-7eda85ece727,Newsgathering,UK,"March 29, 2021","Trending Topics,Unsupervised ML,Tracking technologies",
Staying on Topic — Building an Automated Topic Model of WSJ News Coverage,The Wall Street Journal,https://medium.com/the-wall-street-journal/staying-on-topic-building-an-automated-topic-model-of-wsj-news-coverage-d4dc4369f71b,AI Strategy ,USA,"March 26, 2021","Topic Model,Tags",
Sanoma: Serving subscriptions with the help of technology,Helsingin Sanomat,https://newsinitiative.withgoogle.com/assets/static/docs/cs_gni_sanoma.pdf,Subscriptions,Finland,"March 23, 2021","Personalised content,Subscriptions,Audiences",
The Wall Street Journal uses Narrativa's AI for its news automation,The Wall Street Journal,https://www.narrativa.com/the-wall-street-journal-uses-narrativas-ai-for-its-news-automation/,News production ,USA,"January 20, 2021","Automation,Smart assistant,News coverage",
We recommend articles with a little help from our friends (Machine Learning and reader input),The New York Times ,https://open.nytimes.com/we-recommend-articles-with-a-little-help-from-our-friends-machine-learning-and-reader-input-e17e85d6cf04,Personalization,USA,"January 14, 2021","Machine Learning,Reader input,Personalised content",
COVID-19: USA’s Trib Total Media boosts AI-backed hyperlocal journalism,Trib Total Media,https://wan-ifra.org/2021/01/covid-19-usas-trib-total-media-boosts-ai-backed-hyperlocal-journalism/,News production ,USA,"January 12, 2021","Content strategy,Local news",
Nine improves its image at scale with AI project,Nine,https://www.gxpress.net/nine-improves-its-image-at-scale-with-ai-project-cms-13007,News production ,Australia,"January 11, 2021","Automation,Multimedia,Machine Learning",
Yle News Lab builds a method that makes the power of social media visible,Yle News,https://newslab.yle.fi/blog/TczBhQQosX8TzGNuQm8aI,AI Strategy ,Finland,"December 1, 2020","Collaborative,Social media,Data Visualization,Data journalism",
NZME boosts engagement with a bespoke content recommendation engine, New Zealand Media and Entertainment (NZME),https://20190322t164649-dot-gweb-news-initiative.appspot.com/assets/static/docs/NZME.pdf,Audience Engagement,New Zealand,"November 1, 2020","Content strategy,News consumption",
Announcing the launch of the Stanford Cable TV News Analyzer,Brown Institute for Media Innovation,https://brown.stanford.edu/tv-news-analyzer/,Research & Innovation ,USA,"October 24, 2020","Multimedia,Broadcast Journalism,Smart assistant",
Calculating corruption: Peru's Ojo Público creates tool to gauge contracting risks,Ojo Público,https://gijn.org/2020/10/19/calculating-corruption-perus-ojo-publico-creates-tool-to-gauge-contracting-risks/,Newsgathering,Peru,"October 19, 2020","Risk detection tool,Corruption",
"To find photos in our archive, we taught the CMS how to read",The New York Times,https://open.nytimes.com/to-find-photos-in-our-archive-we-taught-the-cms-how-to-read-f9bd5f6703d7,Research & Innovation ,USA,"October 8, 2020","Multimedia,CMS,Facial recognition,Machine Learning",
How we built a cutting-edge NLP model to generte SEO titles,Axel Springer,https://medium.com/axel-springer-tech/how-we-built-a-cutting-edge-nlp-model-to-generate-seo-titles-ac0fc80a5128,News production ,Germany,"September 7, 2020","SEO,Machine Learning,Automation",
Reuters applies AI technology to 100 years of archive video to enable faster discovery,Reuters ,https://www.reuters.com/article/rpb-lavita-video-archive/reuters-applies-ai-technology-to-100-years-of-archive-video-to-enable-faster-discovery-supported-by-google-dni-idUSKCN2591VO,Newsgathering,Global,"August 13, 2020","Archives,Google DNI,Transcripts",
"Bergens Tidende uses AI to reveal newsroom biases, diversify coverage",Bergens Tidende,https://www.inma.org/blogs/media-leaders/post.cfm/bergens-tidende-uses-ai-to-reveal-newsroom-biases-diversify-coverage,Bias & Diversity,Norway,"August 9, 2020","Bias,Diversity,News coverage",
"Me, you and the machine",BBC,https://www.bbc.co.uk/blogs/internet/entries/b2106d78-762c-403a-901a-2e34894c3ac1,AI Strategy ,UK,"July 20, 2020","COVID-19,Machine Learning,Audiences",
Graphical storytelling: Extracting and painting a fresh perspective,BBC,https://bbcnewslabs.co.uk/news/2020/gst-on-social/,Research & Innovation ,UK,"July 10, 2020","Storytelling,Content strategy,Interactive journalism",
Estimating 3D poses of athletes at live sporting events,The New York Times,https://rd.nytimes.com/projects/estimating-3d-poses-of-athletes-at-live-sporting-events,Research & Innovation ,USA,"June 16, 2020","Graphics,Sports,Multimedia,3D",
How KPCC embraced its role as LA's helpdesk – and what we've learned along the way,KPCC,https://medium.com/engagement-at-kpcc/how-kpcc-embraced-its-role-as-las-help-desk-and-what-we-ve-learned-along-the-way-10b548ea23ca,Audience Engagement,USA,"May 28, 2020","Helpdesk,Engaged journalism",
Digitizing a century of history with data,South China Morning Post ,https://medium.com/scmp-inside-the-wonton/digitizing-a-century-of-history-with-data-fd934f4394ba,Newsgathering,China,"May 27, 2020","Archives,Digitisation",
BBC launches pop-up Corona Bot service to answer questions on Covid-19 related changes,BBC,https://www.bbc.co.uk/mediacentre/latestnews/2020/corona-bot,Audience Engagement,UK,"May 27, 2020","Bot service,COVID-19",
"Bloomberg Media creates new tool to make readers, advertisers swoon",Bloomberg ,https://www.adweek.com/performance-marketing/bloomberg-media-creates-new-tool-to-make-readers-advertisers-swoon/,Subscriptions,USA,"May 4, 2020","COVID-19,Advertisers,Audiences",
"To apply Machine Learning responsibly, we use it in moderation",The New York Times,https://open.nytimes.com/to-apply-machine-learning-responsibly-we-use-it-in-moderation-d001f49e0644,Comment Moderation,USA,"April 30, 2020","Machine Learning,Responsibility",
Automating our coronavirus coverage,The Times of London,https://medium.com/digital-times/how-we-automated-our-coronavirus-coverage-ca9d6ad8ab8f,News production ,UK,"April 28, 2020","COVID-19,Automation,Data Visualization",
Swedish Radio leverages Peach recommendations for content production,Swedish Radio,https://tech.ebu.ch/news/2020/04/swedish-radio-leverages-peach-recommendations-for-content-production,News production ,Sweden,"April 27, 2020","Radio,Content strategy,Machine Learning",
How an AI system is boosting business at The Globe and Mail,The Globe and Mail ,https://wan-ifra.org/2020/04/how-an-ai-system-is-boosting-business-at-the-globe-and-mail/,AI Strategy ,Canada,"April 2, 2020","Analytics,Data science",
Analyzing bias in Natural Language models,The New York Times,https://rd.nytimes.com/projects/analyzing-bias-in-natural-language-models,Bias & Diversity,USA,"March 24, 2020","Bias,Machine Learning",
Swedish Aftonbladet uses automation to outpace competitors with its Covid-19 news coverage,Aftonbladet,https://www.journalism.co.uk/news/swedish-aftonbladet-uses-automation-to-outpace-competitors-with-its-covid-19-news-coverage/s2/a753239/,News production ,Sweden,"March 17, 2020","Automation,COVID-19,News coverage",
Facebook ads reveal what the Democratic candidates think will sway South Carolina voters,Quartz,https://qz.com/1809782/facebook-ads-reveal-each-candidates-top-issue-in-south-carolina/,Investigations,USA,"February 28, 2020","Facebook ads,US elections",
How AI can help predict subscription cancellation and keep readers engaged,Deep BI,https://www.journalism.co.uk/news/how-ai-can-help-predict-subscription-cancellation-and-help-you-keep-your-readers-engaged/s2/a752220/,Subscriptions,UK,"February 25, 2020","Subscriptions,Audiences,Paywall",
The new tool helping Asian newsrooms detect fake images,Storyful,https://www.blog.google/around-the-globe/google-asia/new-tool-helping-asian-newsrooms-detect-fake-images/,Synthetic Media,Ireland,"February 25, 2020","Fact checking,Fake news",
Schibsted announces collaboration in responsible AI with KTH Royal Institute of Technology,Schibsted,https://schibsted.com/news/schibsted-announces-research-collaboration-in-responsible-ai/,Responsible AI,Nordics,"February 11, 2020","Ethics,Machine Learning,Research",
Reuters uses AI to prototype first ever automated video reports,Reuters,https://www.forbes.com/sites/simonchandler/2020/02/07/reuters-uses-ai-to-prototype-first-ever-automated-video-reports/?sh=29e9c7f87a2a,Synthetic Media,Global,"February 7, 2020","Content strategy,Automation,Machine Learning",
Axel Springer Academy to integrate Artificial Intelligence into its curriculum,Axel Springer,https://www.axelspringer.com/en/press-releases/even-more-digital-axel-springer-academy-is-the-first-school-of-journalism-to-integrate-artificial-intelligence-into-its-curriculum?utm_source=dlvr.it&utm_medium=twitter,Education & Training,Germany,"February 6, 2020","Training,Machine Learning,Data journalism",
What the AP and Newsday learned from automating coverage of 124 school districts,Associated Press,https://www.lenfestinstitute.org/news-technology-innovation/what-the-ap-and-newsday-learned-from-automating-coverage-of-124-school-districts/,News production ,USA,"February 5, 2020","Automation,News coverage",
Tool to help journalists spot doctored images is unveiled by Jigsaw,Jigsaw,https://www.nytimes.com/2020/02/04/technology/jigsaw-doctored-images-disinformation.html,Synthetic Media,USA,"February 4, 2020","Deep fakes,Fake news,Machine Learning",
Can synthetic media drive new content expeiences?,BBC,https://www.bbc.co.uk/blogs/internet/entries/b81f12d4-39b7-4624-86ab-01647d2800ec,Synthetic Media,UK,"January 29, 2020","Interactive journalism,Deep fakes,Multimedia",
"How Quartz used AI to sort through the Luanda Leaks
",Quartz,https://qz.com/1786896/ai-for-investigations-sorting-through-the-luanda-leaks,News production ,US / Angola,"January 19, 2020","Localisation,Translations,Natural Language Processing",
How we use AI to help fact check party manifestos,Full Fact,https://fullfact.org/blog/2019/dec/how-we-use-ai-help-fact-check-party-manifestos/,Fact-checking,UK,"December 6, 2019","Fact checking,Party manifestos",
"We used AI to Identify the sex of 340,000 people harmed by medical devices",ICIJ ,https://www.icij.org/investigations/implant-files/we-used-ai-to-identify-the-sex-of-340000-people-harmed-by-medical-devices/,Newsgathering,Global,"November 25, 2019","Investigative reporting,Medical devices",
Artificial Intelligence is not the future – It is happening right now,Cardiff University,https://www.journalism.co.uk/news/artificial-intelligence-is-not-the-future-it-is-happening-right-now/s2/a747107/,Education & Training,UK,"November 11, 2019","Data journalism,Machine Learning,Training",
How The Wall Street Journal is using Deep Learning to inform content strategy,The Wall Street Journal,https://medium.com/the-wall-street-journal/how-the-wall-street-journal-is-using-deep-learning-to-inform-content-strategy-4b4a07090110,AI Strategy ,USA,"October 11, 2019","Content strategy,Machine Learning",
Scaling responsible Machine Learning at the BBC,BBC,https://www.bbc.co.uk/blogs/internet/entries/4a31d36d-fd0c-4401-b464-d249376aafd1,Responsible AI,UK,"October 4, 2019","Machine Learning,Responsibility,Personalised content",
AI & auto-colourisation – Black & White to colour with Machine Learning,BBC,https://www.bbc.co.uk/rd/blog/2019-09-artificial-intelligence-colourisation-video,Research & Innovation ,UK,"September 24, 2019","Machine Learning,Multimedia,Colourisation,Archives",
How The Times of London increased digital subscribers 19% in a year,The Times of London,https://digiday.com/media/how-the-times-of-londons-year-long-content-review-fuelled-its-drive-to-300000-subscribers/,Subscriptions,UK,"August 15, 2019","Subscriptions,Content strategy",
How The Wall Street Journal is building an incubator into its newsroom,The Wall Street Journal,https://www.niemanlab.org/2019/08/how-the-wall-street-journal-is-building-an-incubator-into-its-newsroom-with-new-departments-and-plenty-of-hires/,AI Strategy ,USA,"August 12, 2019","Newsroom organization,Audiences",
How Piano built a propensity paywall for publishers — and what it’s learned so far,Piano,https://www.niemanlab.org/2019/08/how-piano-built-a-propensity-paywall-for-publishers-and-what-its-learned-so-far/,Subscriptions,USA,"August 6, 2019","Paywall,Personalised content",
Here's how The Washington Post's new computational journalism lab will tackle 2020,The Washington Post,https://www.niemanlab.org/2019/07/how-to-cover-11250-elections-at-once-heres-how-the-washington-posts-new-computational-journalism-lab-will-tackle-2020/,Research & Innovation ,USA,"July 25, 2019","Smart assistant,US elections,Machine Learning",
How Quartz used AI to help reporters search the Mauritius Leaks,Quartz,https://qz.com/1670632/how-quartz-used-ai-to-help-reporters-search-the-mauritius-leaks/,Newsgathering,USA,"July 23, 2019","Leaks,Whistleblowing,Investigative reporting",
Spotting fact-checkable tweets,Quartz,https://qz.ai/spotting-fact-checkable-tweets/,Fact-checking,USA,"July 22, 2019","Fact checking,Twitter,Fake news,Social media",
IBM's Wimbledon-watching AI is poised to revolutionize sports broadcasts,IBM,https://www.digitaltrends.com/cool-tech/ibm-wimbledon-watching-artificial-intelligence-revolutionize-sports/,News production ,USA,"July 18, 2019","Sports,Broadcast Journalism,Smart assistant",
Journalism and AI team up to measure missing stories,El Universal,https://www.blog.google/outreach-initiatives/google-news-initiative/journalism-and-ai-team-measure-missing-stories/,Newsgathering,Mexico,"June 12, 2019","Mexico,Machine Learning",
"The New York Times has a course to teach its reporters data skills, now open-source",The New York Times,https://www.niemanlab.org/2019/06/the-new-york-times-has-a-course-to-teach-its-reporters-data-skills-and-now-theyve-open-sourced-it/,Education & Training,USA,"June 12, 2019","Training,Data journalism,Open source ",
Rise of the robots: Coming to a first-year intro to journalism class near you,Lehigh University,https://phys.org/news/2019-07-robots-first-year-intro-journalism-class.html,Education & Training,USA,"June 1, 2019","Smart assistant,Training,Machine Learning",
Times titles halve digital subscriber churn with tailored emails from AI named 'James',The Times of London,https://www.pressgazette.co.uk/times-titles-halve-digital-subscriber-churn-with-tailored-emails-from-ai-named-james/,Subscriptions,UK,"May 27, 2019","Subscriptions,Personalised content,Emails",
Full Fact secures $2 million Google AI grant to fight misinformation,Full Fact,https://www.journalism.co.uk/news/fact-checkers-full-fact-win-2-million-google-ai-grant/s2/a739073/,Fact-checking,UK,"May 20, 2019","Fact checking,Fake news",
AI learns to write headlines (but not this one),Axios,https://www.axios.com/ai-learns-write-headlines-e578a9ba-1e29-4b15-a809-22437e9691ea.html,News production ,USA,"May 16, 2019","Content strategy,Smart assistant,Formatting",
"Facial recognition, subtitling automation and datasets: How Sky News uses AI to unburden journalists",Sky News,https://www.journalism.co.uk/news/sky-news-embraces-ai-tools/s2/a738749/,AI Strategy ,UK,"May 14, 2019","Facial recognition,Machine Learning",
We built an 'unbelievable' (but legal) facial recognition machine,The New York Times,https://www.nytimes.com/interactive/2019/04/16/opinion/facial-recognition-new-york-city.html?,Research & Innovation ,USA,"April 16, 2019","Facial recognition,Congress",
Spotting circling helicopters,Quartz,https://qz.ai/spotting-circling-helicopters/,Education & Training,USA,"April 5, 2019","Tracking technologies,Planespotting,Flight data",
US community journalists can learn about algorithms thanks to $100k AI ethics grant,Newmark J-School at CUNY,https://www.journalism.co.uk/news/us-community-journalists-will-learn-all-about-algorithms-thanks-to-100k-ai-ethics-grant/s2/a736789/,Education & Training,USA,"April 3, 2019","Ethics,Training,Machine Learning",
Dissecting a Machine Learning powered investigation,Artificial Informer,https://artificialinformer.com/issue-one/dissecting-a-machine-learning-powered-investigation.html,Investigations,USA,"April 1, 2019","Machine Learning,Investigative reporting",
What happens when bots become editors?,United Robots,https://www.journalism.co.uk/news/nordic-news-organisations-shows-that-robot-journalism-can-make-personalisation-pay/s2/a736534/,News production ,Sweden,"March 28, 2019","Smart assistant,Automation,News coverage",
